entity,label
http://www.wikidata.org/entity/Q105129415,Q105129415
http://www.wikidata.org/entity/Q105130212,Zélie Courbet
http://www.wikidata.org/entity/Q105132140,Amédée-Julien Marcel-Clément
http://www.wikidata.org/entity/Q105160404,Q105160404
http://www.wikidata.org/entity/Q105162018,Q105162018
http://www.wikidata.org/entity/Q1051656,hand-kissing
http://www.wikidata.org/entity/Q105173,Tetragrammaton
http://www.wikidata.org/entity/Q105186,pharmacist
http://www.wikidata.org/entity/Q105190,levee
http://www.wikidata.org/entity/Q1051928,Kröller-Müller Museum
http://www.wikidata.org/entity/Q1052,rainbow
http://www.wikidata.org/entity/Q105221965,The Mocking of Christ
